Week,Day,Date,year,sf_rec,opp_rec,Opp,score_tm,score_opp,offense_1stD,offense_totYd,offense_passY,offense_rushY,offense_to,defense_1stD,defense_totYd,defence_passY,defense_rushY,defense_to,ep_offense,ep_defense,ep_sp_Tms,win_lose,home_away,point_diff,turnover_diff
1,Mon,Sep-14,2015,1,0,Minnesota Vikings,20,3,25,395,165,230,1.0,17,248,177,71,1.0,12.1,13.36,-8.12,1,1,17,0.0
2,Sun,Sep-20,2015,1,1,Pittsburgh Steelers,18,43,27,409,298,111,1.0,21,453,369,84,,6.43,-29.74,1.07,0,0,-25,
3,Sun,Sep-27,2015,1,2,Arizona Cardinals,7,47,10,156,53,103,4.0,28,446,307,139,1.0,-26.19,-21.61,10.29,0,0,-40,-3.0
4,Sun,Oct-04,2015,1,3,Green Bay Packers,3,17,8,196,119,77,1.0,18,362,200,162,,-11.25,-5.93,4.95,0,1,-14,
5,Sun,Oct-11,2015,1,4,New York Giants,27,30,22,380,256,124,,30,525,441,84,1.0,17.01,-22.97,1.19,0,0,-3,
6,Sun,Oct-18,2015,2,4,Baltimore Ravens,25,20,15,391,326,65,,25,420,343,77,2.0,9.65,-4.93,-0.22,1,1,5,
7,Thu,Oct-22,2015,2,5,Seattle Seahawks,3,20,8,142,81,61,,21,388,212,176,2.0,-15.72,-6.26,3.58,0,1,-17,
8,Sun,Nov-01,2015,2,6,St. Louis Rams,6,27,11,189,151,38,,16,388,191,197,1.0,-20.93,-0.68,1.25,0,0,-21,
9,Sun,Nov-08,2015,3,6,Atlanta Falcons,17,16,18,318,185,133,2.0,17,302,285,17,,4.03,0.89,-4.55,1,1,1,
11,Sun,Nov-22,2015,3,7,Seattle Seahawks,13,29,14,306,247,59,,28,508,253,255,,0.81,-22.52,4.37,0,0,-16,
12,Sun,Nov-29,2015,3,8,Arizona Cardinals,13,19,17,368,301,67,2.0,26,337,267,70,,1.68,-5.59,-1.73,0,1,-6,
13,Sun,Dec-06,2015,4,8,Chicago Bears,26,20,13,291,170,121,,20,364,194,170,1.0,0.11,5.22,0.7,1,0,6,
14,Sun,Dec-13,2015,4,9,Cleveland Browns,10,24,15,221,150,71,,28,481,251,230,2.0,-9.24,-11.6,7.47,0,0,-14,
15,Sun,Dec-20,2015,4,10,Cincinnati Bengals,14,24,17,318,263,55,4.0,14,242,174,68,1.0,-20.61,9.84,-0.99,0,1,-10,-3.0
16,Sun,Dec-27,2015,4,11,Detroit Lions,17,32,20,322,201,121,1.0,26,371,284,87,,0.08,-12.84,-2.64,0,0,-15,
17,Sun,Jan-03,2015,5,11,St. Louis Rams,19,16,21,458,350,108,1.0,21,364,231,133,,0.19,1.19,-1.42,1,1,3,
