Week,Day,Date,year,sf_rec,opp_rec,Opp,score_tm,score_opp,offense_1stD,offense_totYd,offense_passY,offense_rushY,offense_to,defense_1stD,defense_totYd,defence_passY,defense_rushY,defense_to,ep_offense,ep_defense,ep_sp_Tms,win_lose,home_away,point_diff,turnover_diff
1,Sun,Sep-10,2023,1.0,0.0,Pittsburgh Steelers,30.0,7.0,22.0,391.0,203.0,188.0,1.0,15.0,239.0,198.0,41.0,2.0,9.73,13.55,-0.78,1,0,23.0,1.0
2,Sun,Sep-17,2023,2.0,0.0,Los Angeles Rams,30.0,23.0,21.0,365.0,206.0,159.0,,28.0,386.0,297.0,89.0,2.0,12.36,-3.31,-2.05,1,0,7.0,
3,Thu,Sep-21,2023,3.0,0.0,New York Giants,30.0,12.0,26.0,441.0,300.0,141.0,,10.0,150.0,121.0,29.0,1.0,19.0,11.82,-9.72,1,1,18.0,
4,Sun,Oct-01,2023,4.0,0.0,Arizona Cardinals,35.0,16.0,30.0,395.0,271.0,124.0,,23.0,362.0,257.0,105.0,,30.46,-9.72,-1.63,1,1,19.0,
5,Sun,Oct-08,2023,5.0,0.0,Dallas Cowboys,42.0,10.0,25.0,421.0,251.0,170.0,1.0,8.0,197.0,140.0,57.0,4.0,12.84,23.12,-5.21,1,1,32.0,3.0
6,Sun,Oct-15,2023,5.0,1.0,Cleveland Browns,17.0,19.0,15.0,215.0,107.0,108.0,1.0,18.0,334.0,174.0,160.0,2.0,-6.05,11.32,-7.34,0,0,-2.0,1.0
7,Mon,Oct-23,2023,5.0,2.0,Minnesota Vikings,17.0,22.0,19.0,325.0,260.0,65.0,3.0,24.0,452.0,378.0,74.0,1.0,5.43,-16.3,6.07,0,0,-5.0,-2.0
8,Sun,Oct-29,2023,5.0,3.0,Cincinnati Bengals,17.0,31.0,24.0,460.0,347.0,113.0,3.0,29.0,400.0,266.0,134.0,1.0,9.25,-18.3,2.48,0,1,-14.0,-2.0
10,Sun,Nov-12,2023,6.0,3.0,Jacksonville Jaguars,34.0,3.0,20.0,437.0,293.0,144.0,,12.0,221.0,162.0,59.0,4.0,15.13,18.16,-3.53,1,0,31.0,
11,Sun,Nov-19,2023,7.0,3.0,Tampa Bay Buccaneers,27.0,14.0,22.0,420.0,305.0,115.0,,22.0,287.0,221.0,66.0,2.0,14.22,2.05,-2.57,1,1,13.0,
12,Thu,Nov-23,2023,8.0,3.0,Seattle Seahawks,31.0,13.0,23.0,377.0,208.0,169.0,1.0,14.0,220.0,132.0,88.0,2.0,8.06,10.62,-0.59,1,0,18.0,1.0
13,Sun,Dec-03,2023,9.0,3.0,Philadelphia Eagles,42.0,19.0,24.0,456.0,310.0,146.0,,23.0,333.0,287.0,46.0,,33.55,-6.22,-2.11,1,0,23.0,
14,Sun,Dec-10,2023,10.0,3.0,Seattle Seahawks,28.0,16.0,19.0,527.0,354.0,173.0,2.0,17.0,324.0,254.0,70.0,2.0,19.7,1.61,-3.47,1,1,12.0,0.0
15,Sun,Dec-17,2023,11.0,3.0,Arizona Cardinals,45.0,29.0,24.0,406.0,262.0,144.0,,22.0,436.0,202.0,234.0,2.0,26.28,-5.83,-1.07,1,0,16.0,
16,Mon,Dec-25,2023,11.0,4.0,Baltimore Ravens,19.0,33.0,21.0,429.0,308.0,121.0,5.0,23.0,343.0,241.0,102.0,,-4.26,-11.84,1.31,0,1,-14.0,
17,Sun,Dec-31,2023,12.0,4.0,Washington Commanders,27.0,10.0,28.0,408.0,224.0,184.0,,12.0,225.0,163.0,62.0,2.0,16.3,6.62,-3.5,1,0,17.0,
