Week,Day,Date,year,sf_rec,opp_rec,Opp,score_tm,score_opp,offense_1stD,offense_totYd,offense_passY,offense_rushY,offense_to,defense_1stD,defense_totYd,defence_passY,defense_rushY,defense_to,ep_offense,ep_defense,ep_sp_Tms,win_lose,home_away,point_diff,turnover_diff
1,Sun,Sep-13,2020,0,1,Arizona Cardinals,20,24,18,366,243,123,,29,404,224,180,1.0,3.88,-6.46,0.46,0,1,-4,
2,Sun,Sep-20,2020,1,1,New York Jets,31,13,17,359,177,182,1.0,17,277,173,104,,11.4,4.92,0.86,1,0,18,
3,Sun,Sep-27,2020,2,1,New York Giants,36,9,29,420,327,93,,13,231,165,66,3.0,18.53,10.86,-8.05,1,0,27,
4,Sun,Oct-04,2020,2,2,Philadelphia Eagles,20,25,25,417,301,116,3.0,18,267,174,93,1.0,0.02,-0.66,-3.75,0,1,-5,-2.0
5,Sun,Oct-11,2020,2,3,Miami Dolphins,17,43,19,259,128,131,3.0,22,436,342,94,,-9.48,-19.36,-0.03,0,1,-26,
6,Sun,Oct-18,2020,3,3,Los Angeles Rams,24,16,24,390,268,122,,17,311,198,113,1.0,12.69,-2.05,-2.53,1,1,8,
7,Sun,Oct-25,2020,4,3,New England Patriots,33,6,26,467,270,197,2.0,17,241,147,94,4.0,22.44,9.49,-6.55,1,0,27,2.0
8,Sun,Nov-01,2020,4,4,Seattle Seahawks,27,37,24,351,299,52,2.0,27,350,249,101,,14.29,-17.9,-8.73,0,0,-10,
9,Thu,Nov-05,2020,4,5,Green Bay Packers,17,34,17,337,282,55,2.0,21,405,294,111,,0.24,-19.59,3.72,0,1,-17,
10,Sun,Nov-15,2020,4,6,New Orleans Saints,13,27,21,281,232,49,4.0,17,237,123,114,2.0,-8.03,2.66,-6.47,0,0,-14,-2.0
12,Sun,Nov-29,2020,5,6,Los Angeles Rams,23,20,18,345,233,112,3.0,14,308,182,126,4.0,-14.81,19.57,-2.68,1,0,3,1.0
13,Mon,Dec-07,2020,5,7,Buffalo Bills,24,34,24,402,316,86,2.0,31,449,368,81,1.0,6.59,-18.14,-0.36,0,1,-10,-1.0
14,Sun,Dec-13,2020,5,8,Washington Football Team,15,23,21,344,236,108,3.0,12,193,95,98,1.0,-25.61,19.42,-0.12,0,1,-8,-2.0
15,Sun,Dec-20,2020,5,9,Dallas Cowboys,33,41,28,458,308,150,4.0,15,291,204,87,,11.28,-4.47,-12.91,0,0,-8,
16,Sat,Dec-26,2020,6,9,Arizona Cardinals,20,12,22,398,171,227,1.0,20,350,230,120,2.0,9.69,10.15,-10.68,1,0,8,1.0
17,Sun,Jan-03,2020,6,10,Seattle Seahawks,23,26,17,328,242,86,1.0,21,280,159,121,,2.58,-5.26,-0.32,0,1,-3,
