Week,Day,Date,year,sf_rec,opp_rec,Opp,score_tm,score_opp,offense_1stD,offense_totYd,offense_passY,offense_rushY,offense_to,defense_1stD,defense_totYd,defence_passY,defense_rushY,defense_to,ep_offense,ep_defense,ep_sp_Tms,win_lose,home_away,point_diff,turnover_diff
1,Sun,Sep-11,2022,0,1,Chicago Bears,10,19,17,331,155,176,2.0,15,204,105,99,1.0,-11.26,-0.67,0.42,0,0,-9,-1.0
2,Sun,Sep-18,2022,1,1,Seattle Seahawks,27,7,25,373,184,189,,14,216,180,36,3.0,16.39,9.18,-7.67,1,1,20,
3,Sun,Sep-25,2022,1,2,Denver Broncos,10,11,13,267,179,88,3.0,14,261,160,101,,-16.39,13.59,-1.26,0,0,-1,
4,Mon,Oct-03,2022,2,2,Los Angeles Rams,24,9,13,327,239,88,,21,257,200,57,2.0,10.05,11.56,-7.93,1,1,15,
5,Sun,Oct-09,2022,3,2,Carolina Panthers,37,15,22,397,244,153,1.0,15,308,244,64,1.0,16.04,13.22,-7.82,1,0,22,0.0
6,Sun,Oct-16,2022,3,3,Atlanta Falcons,14,28,21,346,296,50,3.0,18,289,121,168,,0.59,-11.56,1.69,0,0,-14,
7,Sun,Oct-23,2022,3,4,Kansas City Chiefs,23,44,25,444,343,101,3.0,24,529,417,112,2.0,3.59,-30.58,8.5,0,1,-21,-1.0
8,Sun,Oct-30,2022,4,4,Los Angeles Rams,31,14,22,368,257,111,,16,223,167,56,,23.18,-3.37,-2.48,1,0,17,
10,Sun,Nov-13,2022,5,4,Los Angeles Chargers,22,16,22,387,230,157,1.0,12,238,187,51,1.0,6.2,7.29,-5.38,1,1,6,0.0
11,Mon,Nov-21,2022,6,4,Arizona Cardinals,38,10,21,387,228,159,,19,314,247,67,2.0,20.26,9.44,-1.43,1,0,28,
12,Sun,Nov-27,2022,7,4,New Orleans Saints,13,0,21,317,221,96,,14,260,197,63,2.0,2.05,8.15,2.22,1,1,13,
13,Sun,Dec-04,2022,8,4,Miami Dolphins,33,17,24,351,230,121,1.0,14,308,275,33,4.0,1.78,13.36,1.0,1,1,16,3.0
14,Sun,Dec-11,2022,9,4,Tampa Bay Buccaneers,35,7,24,404,195,209,1.0,18,322,253,69,3.0,18.39,13.41,-0.43,1,1,28,2.0
15,Thu,Dec-15,2022,10,4,Seattle Seahawks,21,13,15,381,211,170,,16,277,207,70,1.0,9.75,11.24,-8.96,1,0,8,
16,Sat,Dec-24,2022,11,4,Washington Commanders,37,20,14,371,218,153,1.0,21,349,270,79,2.0,9.41,2.45,3.02,1,1,17,1.0
17,Sun,Jan-01,2022,12,4,Las Vegas Raiders,37,34,27,454,284,170,1.0,29,500,365,135,2.0,23.25,-13.83,-6.49,1,0,3,1.0
18,Sun,Jan-08,2022,13,4,Arizona Cardinals,38,13,21,311,142,169,,11,255,194,61,4.0,9.62,15.23,0.8,1,1,25,
