Week,Day,Date,year,sf_rec,opp_rec,Opp,score_tm,score_opp,offense_1stD,offense_totYd,offense_passY,offense_rushY,offense_to,defense_1stD,defense_totYd,defence_passY,defense_rushY,defense_to,ep_offense,ep_defense,ep_sp_Tms,win_lose,home_away,point_diff,turnover_diff
1,Sun,Sep-12,2021,1,0,Detroit Lions,41,33,21,442,311,131,2.0,31,430,314,116,1.0,15.48,-5.16,-1.73,1,0,8,-1.0
2,Sun,Sep-19,2021,2,0,Philadelphia Eagles,17,11,23,306,189,117,,18,328,177,151,,7.86,-5.3,2.68,1,0,6,
3,Sun,Sep-26,2021,2,1,Green Bay Packers,28,30,26,298,231,67,2.0,21,353,253,100,,12.19,-15.14,0.95,0,1,-2,
4,Sun,Oct-03,2021,2,2,Seattle Seahawks,21,28,23,457,314,143,2.0,14,234,129,105,,8.61,-2.2,-14.31,0,1,-7,
5,Sun,Oct-10,2021,2,3,Arizona Cardinals,10,17,19,338,186,152,1.0,20,304,210,94,1.0,-6.53,-1.74,-0.47,0,0,-7,0.0
7,Sun,Oct-24,2021,2,4,Indianapolis Colts,18,30,13,280,169,111,4.0,17,295,147,148,2.0,-15.3,-1.16,4.24,0,1,-12,-2.0
8,Sun,Oct-31,2021,3,4,Chicago Bears,33,22,21,467,322,145,,22,324,148,176,1.0,21.75,-9.87,-2.14,1,0,11,
9,Sun,Nov-07,2021,3,5,Arizona Cardinals,17,31,22,337,298,39,3.0,22,437,274,163,,2.1,-17.45,2.39,0,1,-14,
10,Mon,Nov-15,2021,4,5,Los Angeles Rams,31,10,20,335,179,156,,16,278,226,52,2.0,11.33,7.18,0.7,1,1,21,
11,Sun,Nov-21,2021,5,5,Jacksonville Jaguars,30,10,25,333,162,171,,14,200,146,54,2.0,17.86,1.83,0.08,1,0,20,
12,Sun,Nov-28,2021,6,5,Minnesota Vikings,34,26,23,423,215,208,1.0,17,323,256,67,2.0,8.93,4.16,-6.1,1,1,8,1.0
13,Sun,Dec-05,2021,6,6,Seattle Seahawks,23,30,17,365,294,71,3.0,21,327,181,146,3.0,-0.51,0.01,-3.44,0,0,-7,0.0
14,Sun,Dec-12,2021,7,6,Cincinnati Bengals,26,23,21,355,255,100,,22,397,311,86,2.0,4.6,-11.63,10.68,1,0,3,
15,Sun,Dec-19,2021,8,6,Atlanta Falcons,31,13,23,397,235,162,1.0,13,275,213,62,1.0,20.53,9.41,-11.46,1,1,18,0.0
16,Thu,Dec-23,2021,8,7,Tennessee Titans,17,20,22,389,306,83,2.0,16,278,188,90,,5.48,-2.96,-2.72,0,0,-3,
17,Sun,Jan-02,2021,9,7,Houston Texans,23,7,19,416,241,175,1.0,15,222,136,86,1.0,5.7,7.88,0.16,1,1,16,0.0
18,Sun,Jan-09,2021,10,7,Los Angeles Rams,27,24,23,449,314,135,2.0,19,265,201,64,2.0,15.33,-8.42,-3.91,1,0,3,0.0
