Week,Day,Date,year,sf_rec,opp_rec,Opp,score_tm,score_opp,offense_1stD,offense_totYd,offense_passY,offense_rushY,offense_to,defense_1stD,defense_totYd,defence_passY,defense_rushY,defense_to,ep_offense,ep_defense,ep_sp_Tms,win_lose,home_away,point_diff,turnover_diff
1,Sun,Sep-10,2017,0,1,Carolina Panthers,3,23,13,217,166,51,2.0,20,287,171,116,2.0,-22.9,0.04,3.05,0,1,-20,0.0
2,Sun,Sep-17,2017,0,2,Seattle Seahawks,9,12,11,248,89,159,1.0,21,312,181,131,,-10.07,0.45,7.08,0,0,-3,
3,Thu,Sep-21,2017,0,3,Los Angeles Rams,39,41,25,421,308,113,2.0,26,418,292,126,2.0,5.71,-25.2,12.79,0,1,-2,0.0
4,Sun,Oct-01,2017,0,4,Arizona Cardinals,15,18,20,305,210,95,1.0,25,368,317,51,1.0,-10.83,3.67,3.36,0,0,-3,0.0
5,Sun,Oct-08,2017,0,5,Indianapolis Colts,23,26,23,402,336,66,,25,447,288,159,1.0,10.34,-5.95,-7.25,0,0,-3,
6,Sun,Oct-15,2017,0,6,Washington Redskins,24,26,21,335,250,85,1.0,25,419,325,94,2.0,3.1,-7.41,1.72,0,0,-2,1.0
7,Sun,Oct-22,2017,0,7,Dallas Cowboys,10,40,23,290,187,103,3.0,27,501,236,265,,-7.8,-28.6,0.96,0,1,-30,
8,Sun,Oct-29,2017,0,8,Philadelphia Eagles,10,33,14,238,144,94,2.0,19,304,192,112,1.0,-18.94,-3.12,-1.57,0,0,-23,-1.0
9,Sun,Nov-05,2017,0,9,Arizona Cardinals,10,20,17,329,266,63,2.0,20,368,201,167,2.0,-19.86,3.98,3.99,0,1,-10,0.0
10,Sun,Nov-12,2017,1,9,New York Giants,31,21,21,474,288,186,2.0,19,374,260,114,1.0,14.95,-10.34,4.59,1,1,10,-1.0
12,Sun,Nov-26,2017,1,10,Seattle Seahawks,13,24,16,280,196,84,1.0,20,318,228,90,1.0,-10.16,-2.89,1.79,0,1,-11,0.0
13,Sun,Dec-03,2017,2,10,Chicago Bears,15,14,23,388,278,110,1.0,8,147,85,62,,4.45,1.5,-3.02,1,0,1,
14,Sun,Dec-10,2017,3,10,Houston Texans,26,16,20,416,314,102,1.0,18,311,221,90,1.0,6.06,4.09,-1.0,1,0,10,0.0
15,Sun,Dec-17,2017,4,10,Tennessee Titans,25,23,23,414,363,51,,23,328,238,90,1.0,13.08,-10.46,-0.42,1,1,2,
16,Sun,Dec-24,2017,5,10,Jacksonville Jaguars,44,33,26,369,238,131,1.0,32,472,380,92,3.0,18.97,-7.43,0.92,1,1,11,2.0
17,Sun,Dec-31,2017,6,10,Los Angeles Rams,34,13,25,461,292,169,3.0,15,251,149,102,2.0,9.97,8.87,1.57,1,0,21,-1.0
